,CONTENT,DATETIME,DOCID,TYPE
82,계룡산의 깃대종 호반새를 아시나요? http://t.co/bm97fVUO,20120727232533,83,TWEET
83,"2010년 환경부에서 한국 고유종으로, 2011년 계룡산 화산계곡지역 깃대종으로 선정되었지만 보호가 많이 안되고 있어요 =( 이끼도롱뇽의 서식지라고 홍보물이 부착된 계룡산에서는 오히려 더 개체수가 줄어드는 추세랍니다 ㅠㅠ",20120727233440,84,TWEET
84,계룡산의 깃대종 호반새를 아시나요? http://t.co/LqsGDlOh,20120728021534,85,TWEET
85,깃대종은 또 뭐야? http://t.co/TFnUePvf,20120729223511,86,TWEET
86,기본알아보기=깃대종 http://t.co/H2oHYbU1,20120801152331,87,TWEET
87,수원 대표 동·식물 ‘7대 깃대종’ 뽑는다 http://t.co/ucENkqzC,20120804204906,88,TWEET
88,계룡산의 깃대종 호반새를 아시나요? http://t.co/rUN6x0qa,20120806213331,89,TWEET
89,"소백산 깃대종,참갈겨니’우리가 보호합시다 http://t.co/lJCZvtko",20120811083144,90,TWEET
90,월평공원에 서식하는 깃대종 http://t.co/TfewjkyX,20120812232122,91,TWEET
91,"녹색연합에서 울진 산양 이야기를 열심히 듣고 있는 화가 이장미 선생님!! 겨울에 나올 ""대한민국 깃대종"" 두 번째 이야기 기대해 주세요!! ^^ http://t.co/5yHGkCJ3",20120816164232,92,TWEET
92,계룡산 국립공원 홈페이지에 제안글을 올렸어요.: 보이시죠? 계룡산을 탐방해 보니 동학사도 수통골에도 호반새만 계룡산 국립공원 표지판에 나와 있었습니다. 이끼도롱뇽도 깃대종인데... 그래서 <제안합니다>... http://t.co/InCcksC9,20120821215057,93,TWEET
93,계룡산(동학사)에 다녀왔습니다.1탄: 비가 오는 날씨에 이끼도롱뇽이 깃대종으로 되어 있는 계룡산에 다녀왔습니다. 이끼도롱뇽이 많이 서식하고 있는 계룡산에 가서 계룡산애 서식하고 있는 동.식물에 ... http://t.co/YWMPtLVd,20120821222200,94,TWEET
94,내장산의 깃대종 http://t.co/h9uYF2E0,20120824214724,95,TWEET
95,계룡산국립공원의 깃대종 http://t.co/Xrb3a3UP,20120827224109,96,TWEET
96,변산반도 국립공원 깃대종 http://t.co/sxtgyhbR,20120828231649,97,TWEET
